Energy,Gap
319.9999935484,17.3618088177
349.9996612903,18.1057221493
399.9999322581,19.2667627885
450.0003064516,20.3489868643
499.9990806452,21.374036697
550.0003322581,22.3567895487
599.9990741935,23.3100354195
650.0006193548,24.2432121121
699.9999774194,25.1655824802
749.9975193548,26.0857926223
799.9949741935,27.0125572499
849.9985354839,27.9526136251
899.9996612903,28.9162296588
949.9977483871,29.9128249678
999.9996354839,30.957424243
1049.9976483871,32.0628365847
1099.9994419355,33.2506634452
1150.0001741936,34.5508759885
1199.9964935484,36.0026240984
1250.0021419355,37.676016414
1300.0003451613,39.6800141951
1349.9998870968,42.2107930287
1400,45.8285121087
